NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalTrueXiLcDaughterTracks,#1.TotalXiccppTracks,#1.TotalXiLcDaughterTracks,#1.TotalBackgroundTracks,#1.TotalXiLcBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalTrueBachelorPionTracks,#2.TotalXiccppPions,#2.TotalBachelorPionTracks,#2.TotalBackgroundPions,#2.TotalBachelorPionBackgroundTracks,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalTrueBachelorKaonTracks,#3.TotalXiccppKaons,#3.TotalBachelorKaonTracks,#3.TotalBackgroundKaons,#3.TotalBackgroundBachelorKaons
10,510,2000,0.0,0,5782,2865,3612,2195,264332,265749,615339,2887,1912,1225,694,180804,181335,87865,1912,966,1446,715,41687,42418
10,510,2250,0.0,0,5782,2865,3605,2194,262721,264132,615339,2887,1912,1218,688,179569,180099,87865,1912,966,1446,715,41468,42199
10,510,3000,0.0,0,5782,2865,3567,2174,251702,253095,615339,2887,1912,1195,676,171129,171648,87865,1912,966,1431,709,40034,40756
10,510,2750,0.0,0,5782,2865,3584,2183,256021,257422,615339,2887,1912,1203,680,174409,174932,87865,1912,966,1440,713,40608,41335
10,510,2500,0.0,0,5782,2865,3601,2190,259737,261148,615339,2887,1912,1215,688,177248,177775,87865,1912,966,1445,715,41097,41827
10,510,3500,0.0,0,5782,2865,3523,2155,242460,243828,615339,2887,1912,1168,659,164308,164817,87865,1912,966,1414,703,38705,39416
10,510,3250,0.0,0,5782,2865,3546,2162,247088,248472,615339,2887,1912,1183,669,167685,168199,87865,1912,966,1422,707,39386,40101
10,580,500,0.0,0,5782,2865,3275,2066,220817,222026,615339,2887,1912,1032,560,147869,148341,87865,1912,966,1324,643,35918,36599
10,510,3750,0.0,0,5782,2865,3496,2147,237686,239035,615339,2887,1912,1148,642,160788,161294,87865,1912,966,1407,701,38042,38748
10,580,750,0.0,0,5782,2865,3275,2066,220817,222026,615339,2887,1912,1032,560,147869,148341,87865,1912,966,1324,643,35918,36599
10,580,1250,0.0,0,5782,2865,3275,2066,220817,222026,615339,2887,1912,1032,560,147869,148341,87865,1912,966,1324,643,35918,36599
10,580,1000,0.0,0,5782,2865,3275,2066,220817,222026,615339,2887,1912,1032,560,147869,148341,87865,1912,966,1324,643,35918,36599
10,580,1500,0.0,0,5782,2865,3275,2066,220817,222026,615339,2887,1912,1032,560,147869,148341,87865,1912,966,1324,643,35918,36599
10,580,1750,0.0,0,5782,2865,3275,2066,220817,222026,615339,2887,1912,1032,560,147869,148341,87865,1912,966,1324,643,35918,36599
10,580,2500,0.0,0,5782,2865,3273,2064,219615,220824,615339,2887,1912,1030,560,146935,147405,87865,1912,966,1324,643,35765,36446
10,580,2250,0.0,0,5782,2865,3275,2066,220754,221963,615339,2887,1912,1032,560,147823,148295,87865,1912,966,1324,643,35907,36588
10,580,2000,0.0,0,5782,2865,3275,2066,220817,222026,615339,2887,1912,1032,560,147869,148341,87865,1912,966,1324,643,35918,36599
10,580,2750,0.0,0,5782,2865,3262,2058,217585,218789,615339,2887,1912,1023,556,145383,145850,87865,1912,966,1320,642,35506,36184
